time,tavg,tmin,tmax,prcp,wspd,pres
2015-01-06,19.8,15.0,27.0,0.7,2.1,1014.0
2015-01-11,19.1,15.0,27.0,0.7,2.7,1014.0
2015-01-12,19.8,15.0,27.0,0.7,1.7,1014.0
2015-01-13,20.8,15.0,27.0,0.7,1.2,1014.0
2015-02-01,22.0,15.0,27.0,0.7,4.5,1014.0
2015-02-02,22.8,15.0,27.0,0.7,5.6,1014.0
2015-02-03,22.7,15.0,27.0,0.7,6.1,1014.0
2015-02-04,22.7,15.0,27.0,0.7,5.9,1014.0
2015-02-05,22.5,15.0,27.0,0.7,3.1,1014.0
2015-02-06,23.4,15.0,27.0,0.7,4.2,1014.0
2015-02-07,23.5,18.0,30.0,0.7,5.5,1014.0
2015-02-10,23.2,16.0,30.0,0.7,7.4,1014.0
2015-02-11,22.5,16.0,30.0,0.7,4.8,1014.0
2015-02-12,22.5,17.0,29.0,0.7,2.4,1014.0
2015-02-13,23.2,17.0,30.0,0.7,4.6,1014.0
2015-02-14,22.3,19.0,27.0,0.7,3.7,1014.0
2015-02-15,20.2,19.0,27.0,0.7,4.9,1014.0
2015-02-16,20.6,19.0,27.0,0.7,9.3,1014.0
2015-02-17,19.6,19.0,27.0,0.7,6.0,1014.0
2015-02-18,19.7,19.0,27.0,0.7,6.0,1014.0
2015-02-21,21.0,17.0,28.0,0.7,2.5,1014.0
2015-02-22,22.0,17.0,29.0,0.7,2.4,1014.0
2015-02-26,21.6,17.0,27.0,0.7,5.2,1014.0
2015-02-27,22.0,17.0,27.0,0.7,2.6,1014.0
2015-03-06,22.2,17.0,27.0,0.7,3.4,1014.0
2015-03-07,23.0,17.0,27.0,0.7,4.6,1014.0
2015-03-08,23.0,17.0,30.0,0.7,4.4,1014.0
2015-03-09,24.1,17.0,30.0,0.7,5.1,1014.0
2015-03-12,22.7,19.0,29.0,0.7,8.5,1014.0
2015-03-13,24.0,19.0,29.0,0.7,10.6,1014.0
2015-03-15,23.5,19.0,29.0,0.7,11.7,1014.0
2015-03-16,24.0,19.0,29.0,0.7,13.4,1014.0
2015-03-17,24.1,18.0,30.0,0.7,7.9,1014.0
2015-03-19,24.1,18.0,30.0,0.7,9.4,1014.0
2015-03-20,23.3,18.0,30.0,0.7,8.0,1014.0
2015-03-21,23.3,18.0,30.0,0.7,9.0,1014.0
2015-03-22,22.3,18.0,30.0,0.7,5.4,1014.0
2015-03-26,20.4,17.0,26.0,0.7,6.2,1014.0
2015-03-27,21.1,17.0,26.0,0.7,2.6,1014.0
2015-03-30,18.0,15.0,24.0,0.7,2.2,1014.0
2015-03-31,18.5,16.0,24.0,0.7,1.7,1014.0
2015-04-05,17.9,16.0,24.0,0.7,1.7,1014.0
2015-04-06,19.1,16.0,24.0,0.7,4.5,1014.0
2015-04-07,19.1,16.0,24.0,0.7,0.9,1014.0
2015-04-08,18.8,16.0,24.0,0.7,2.3,1014.0
2015-04-09,19.1,17.0,25.0,0.7,5.3,1014.0
2015-04-10,19.2,15.0,25.0,0.7,3.0,1014.0
2015-04-15,18.5,16.0,24.0,0.7,2.3,1014.0
2015-04-20,19.2,16.0,26.0,0.7,4.6,1014.0
2015-04-21,18.7,16.0,26.0,0.7,4.6,1014.0
2015-04-26,17.8,16.0,23.0,0.7,3.8,1014.0
2015-04-30,18.5,16.0,23.0,0.7,4.4,1014.0
2015-05-03,19.3,16.0,23.0,0.7,6.1,1014.0
2015-05-31,19.4,16.0,23.0,0.7,11.6,1014.0
2015-06-01,18.4,16.0,22.0,0.7,5.9,1014.0
2015-06-07,19.1,16.0,23.0,0.7,2.2,1014.0
2015-06-09,19.2,16.0,23.0,0.7,7.2,1014.0
2021-11-02,19.4,16.1,24.3,0.7,5.6,1014.0
2021-11-03,20.1,15.5,25.7,0.2,6.8,1014.8
2021-11-04,19.9,15.4,26.4,0.2,5.6,1015.0
2021-11-05,19.5,15.8,26.0,3.3,6.5,1014.9
2021-11-06,20.4,15.9,26.5,1.1,7.1,1013.7
2021-11-07,20.8,16.8,26.5,0.3,9.4,1012.5
2021-11-08,21.0,16.0,28.4,0.0,8.3,1011.5
2021-11-09,21.3,15.5,28.4,0.0,6.3,1013.0
2021-11-10,20.6,15.5,27.9,3.4,9.5,1014.0
2021-11-11,21.5,16.2,29.4,0.1,10.0,1012.1
2021-11-12,21.5,16.7,28.9,0.1,10.0,1011.5
2021-11-13,22.0,15.9,28.6,0.1,8.3,1011.9
2021-11-14,22.1,15.8,29.5,0.0,10.9,1012.4
2021-11-15,21.9,16.4,28.6,0.1,10.3,1012.7
2021-11-16,19.9,16.4,26.4,8.1,10.4,1012.8
2021-11-17,20.9,15.8,27.5,0.1,8.7,1011.7
2021-11-18,20.6,15.0,27.6,1.3,6.7,1013.8
2021-11-19,20.7,16.1,27.3,1.2,5.3,1013.6
2021-11-20,20.4,16.6,27.1,4.0,8.1,1012.6
2021-11-21,20.7,15.7,28.1,3.1,6.9,1012.0
2021-11-22,20.4,15.1,27.6,0.7,8.9,1013.5
2021-11-23,21.0,15.8,28.1,0.0,7.9,1013.6
2021-11-24,20.2,13.9,28.2,2.1,4.6,1013.3
2021-11-25,19.9,16.7,26.8,3.5,7.0,1012.9
2021-11-26,18.7,15.8,23.8,18.8,7.4,1015.0
2021-11-27,18.9,15.8,26.3,4.6,9.4,1015.3
2021-11-28,19.6,15.5,26.3,4.5,9.2,1014.1
2021-11-29,19.4,15.6,27.6,8.5,7.3,1013.9
2021-11-30,19.4,15.2,24.5,4.1,9.3,1014.0
2021-12-01,20.1,15.8,26.3,1.7,8.1,1013.1
2021-12-02,20.0,15.1,26.1,1.0,7.6,1013.0
2021-12-03,20.1,16.0,25.9,2.1,10.5,1014.0
2021-12-04,20.1,15.8,26.6,4.1,11.3,1014.2
2021-12-05,19.7,14.7,26.6,6.3,9.8,1014.1
2021-12-06,20.9,15.5,27.1,0.2,9.3,1014.1
2021-12-07,21.0,16.0,27.1,0.3,9.6,1014.3
2021-12-08,20.6,16.7,26.7,1.1,10.0,1014.7
2021-12-09,20.0,15.9,26.3,5.4,8.3,1014.7
2021-12-10,20.6,15.9,26.3,0.6,10.2,1012.9
2021-12-11,21.1,15.4,26.9,0.4,10.6,1011.7
2021-12-12,21.2,14.7,28.3,0.0,11.7,1012.2
